Match_no,Match_id,Date,Venue,Innings,Batting_team,Bowling_team,Winner,Won_by,Overs,Striker,Striker_hand,Bowler,Bowler_style,Delivery,Pitching,Shot_direction,runs_of_bat,extras,wide,noballs,legbyes,byes,panja,isWicket,wicket_type
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,0.1,Quinton De Kock,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,good length,on leg stump,Covers,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,0.2,Quinton De Kock,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,short of good length,on leg stump,Extra Cover,4,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,0.3,Quinton De Kock,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,Short of good length,outside leg stump,Straight,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,0.4,Quinton De Kock,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,Short of good length,on leg stump,,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,0.5,Quinton De Kock,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,short of good length,on leg stump,Wicketkeeper,0,0,0,0,0,0,0,1,Caught Behind
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,0.6,Ajinkya Rahane,Right Handed Bat,Josh Hazlewood,Right-arm fast-medium,Good length,outside off stump,Short Mid-Wicket,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,1.1,Sunil Narine,Left Handed Bat,Yash Dayal,Left-arm fast-medium,short of good length,on off stump,,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,1.2,Sunil Narine,Left Handed Bat,Yash Dayal,Left-arm fast-medium,Yorker,on leg stump,,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,1.3,Sunil Narine,Left Handed Bat,Yash Dayal,Left-arm fast-medium,Short of good length,outside off stump,,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,1.4,Sunil Narine,Left Handed Bat,Yash Dayal,Left-arm fast-medium,Full length,outside off stump,Covers,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,1.5,Sunil Narine,Left Handed Bat,Yash Dayal,Left-arm fast-medium,Short of good length,outside off stump,Mid-Wicket,1,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,1.6,Ajinkya Rahane,Right Handed Bat,Yash Dayal,Left-arm fast-medium,Full length,outside leg stump,Mid-Wicket,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,2.1,Sunil Narine,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,Short of good length,outside leg stump,Mid-Wicket,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,2.2,Sunil Narine,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,Short of good length,on off stump,,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,2.3,Sunil Narine,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,Short of good length,on leg stump,Mid-Wicket,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,2.4,Sunil Narine,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,short length,outside leg stump,Wicketkeeper,4,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,2.5,Sunil Narine,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,Short of good length,outside leg stump,Mid-On,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,2.6,Sunil Narine,Left Handed Bat,Josh Hazlewood,Right-arm fast-medium,Short of good length,on off stump,Long-Off,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,3.1,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,short of good length,outside off stump,,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,3.2,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,good length,on leg stump,Deep Fine Leg,4,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,3.3,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,short of good length,outside off stump,Square Leg,6,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,3.4,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,Good length,outside off stump,Covers,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,3.5,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,short of good length,outside off stump,Long-On,6,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,3.6,Ajinkya Rahane,Right Handed Bat,Rasikh Dar,Right-arm fast-medium,Good length,outside off stump,Short Third Man,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,4.1,Sunil Narine,Left Handed Bat,Krunal Pandya,Left-arm orthodox,good length,on off stump,Long-On,6,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,4.2,Sunil Narine,Left Handed Bat,Krunal Pandya,Left-arm orthodox,Full length,on leg stump,Wide Long-On,1,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,4.3,Ajinkya Rahane,Right Handed Bat,Krunal Pandya,Left-arm orthodox,Good length,on leg stump,Backward Short Leg,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,4.4,Ajinkya Rahane,Right Handed Bat,Krunal Pandya,Left-arm orthodox,Full length,on leg stump,Third Man,0,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,4.5,Ajinkya Rahane,Right Handed Bat,Krunal Pandya,Left-arm orthodox,full length,on leg stump,Deep Square Leg,4,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,4.6,Ajinkya Rahane,Right Handed Bat,Krunal Pandya,Left-arm orthodox,full length,on middle stump,Wide Long-On,4,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,5.1,Sunil Narine,Left Handed Bat,Yash Dayal,Left-arm fast-medium,full length,on leg stump,Mid-On,4,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,5.2,Sunil Narine,Left Handed Bat,Yash Dayal,Left-arm fast-medium,Good length,outside off stump,Long-On,1,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,5.3,Ajinkya Rahane,Right Handed Bat,Yash Dayal,Left-arm fast-medium,full length,on leg stump,Third Man,4,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,5.4,Ajinkya Rahane,Right Handed Bat,Yash Dayal,Left-arm fast-medium,full length,outside leg stump,Deep Backward Square Leg,6,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,5.5,Ajinkya Rahane,Right Handed Bat,Yash Dayal,Left-arm fast-medium,full toss,outside off stump,Point,4,0,0,0,0,0,0,0,
1,202501,22 MAR 2025,"Eden Gardens, Kolkata",1,KKR,RCB,Royal Challengers Bengaluru,7 Wickets,5.6,Ajinkya Rahane,Right Handed Bat,Yash Dayal,Left-arm fast-medium,Good length,outside off stump,Deep Backward Point,1,0,0,0,0,0,0,0,
